"Timestamp","DisplayName","BaseName","ClassName","Rarity","StackSize","Enchanted1_Display","Enchanted1_Translation","Enchanted1_Values","Explicit1_Display","Explicit1_Translation","Explicit1_Values","Explicit1_ValuesMinMax","Explicit2_Display","Explicit2_Translation","Explicit2_Values","Explicit2_ValuesMinMax","Explicit3_Display","Explicit3_Translation","Explicit3_Values","Explicit3_ValuesMinMax","Explicit4_Display","Explicit4_Translation","Explicit4_Values","Explicit4_ValuesMinMax","Explicit5_Display","Explicit5_Translation","Explicit5_Values","Explicit5_ValuesMinMax","Explicit6_Display","Explicit6_Translation","Explicit6_Values","Explicit6_ValuesMinMax","AllModTranslations"
"2026-01-06T21:01:10.3961323+00:00","Compound Bow","Compound Bow","Bow","Rare","","Enchantment Fire Modifier Effect and Only Blue Sockets","Gain 10% increased Area of Effect for 2 seconds after Spending a total of 800 Mana
Guards have 1% chance to be Rare","10;1","Discharging","Adds 21 to 374 Lightning Damage","21;374","","Cremating","Adds 165 to 318 Fire Damage","165;318","","Frozen","Adds 75 to 116 Cold Damage","75;116","","of Recuperation","Chaos Damage taken does not bypass Energy Shield during effect","26","","of Staggering","35% increased Stun Duration on Enemies","35","","","","","","Discharging | Cremating | Frozen | of Recuperation | of Staggering"
"2026-01-06T21:01:10.3961541+00:00","Boom Mace","Boom Mace","One Hand Mace","Rare","","","","","Razor-sharp","Adds 18 to 33 Physical Damage","18;33","","Mercenary's","41% increased Physical Damage
+77 to Accuracy Rating","41;77","","Weaponmaster's","+2 to Level of Socketed Melee Gems","2","","of Incision","38% increased Critical Strike Chance","38","","of Infamy","25% increased Attack Speed","25","","of the Sniper","+316 to Accuracy Rating","316","","Razor-sharp | Mercenary's | Weaponmaster's | of Incision | of Infamy | of the Sniper"
"2026-01-06T21:01:10.3961637+00:00","Full Dragonscale","Full Dragonscale","Body Armour","Rare","","Enchantment Defence Modifier Effect","Grants Level 8 Pride Skill","8","Prime","+175 to maximum Life","175","","Ibex's","+103 to Evasion Rating
+36 to maximum Life","103;36","","of the Troll","Regenerate 41.2 Life per second","2472","","of the Inuit","+8% to Cold Resistance","8","","Gladiator's","62% increased Armour and Evasion","62","","","","","","Prime | Ibex's | of the Troll | of the Inuit | Gladiator's"
"2026-01-06T22:48:05.6006831+00:00","Replica Kalisa's Grace","Samite Gloves","Gloves","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DisplaySupportedByUnleashUnique__1 | IntelligenceUnique__7 | LocalIncreasedEnergyShieldUnique__14 | IncreasedLifeUnique__62 | GainAreaOfEffectPluspercentOnManaSpentUnique__1"
"2026-01-06T22:48:10.6055898+00:00","Replica Frostbreath","Ornate Mace","One Hand Mace","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LocalAddedChaosDamageUnique__2 | LocalIncreasedAttackSpeedUnique__11 | ChaosResistUnique__20_ | ChaosDamageCanChill | LocalDoubleDamageToChilledEnemiesUnique__1"
"2026-01-06T22:48:10.6058184+00:00","Replica Twyzel","Blasting Wand","Wand","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LocalIncreasedAttackSpeedUniqueWand9 | LocalCriticalStrikeChanceUnique__20 | AttackAdditionalProjectilesUnique__1 | LocalIncreasedPhysicalDamagePercentUniqueWand9x"
"2026-01-06T22:48:10.6058270+00:00","Replica Cold Iron Point","Ezomyte Dagger","Rune Dagger","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GlobalColdSpellGemsLevelUnique__1 | DealNoColdDamageUnique__1"
"2026-01-06T22:48:10.6058300+00:00","Savant's Robe","Savant's Robe","Body Armour","Rare","","Enchantment White Sockets","Alert Level increases by 0.02% per second","2","Scintillating","+70 to maximum Energy Shield","70","","Djinn's","36% increased Energy Shield
15% increased Stun and Block Recovery","36;15","","of Vigour","56% faster start of Energy Shield Recharge","56","","of the Lightning","+45% to Lightning Resistance","45","","of Haast","+48% to Cold Resistance","48","","Fearless","59% increased Energy Shield","59","","Scintillating | Djinn's | of Vigour | of the Lightning | of Haast | Fearless"
"2026-01-06T22:48:22.7143107+00:00","Replica Cold Iron Point","Ezomyte Dagger","Rune Dagger","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GlobalColdSpellGemsLevelUnique__1 | DealNoColdDamageUnique__1"
"2026-01-06T22:49:38.0042639+00:00","Replica Fencoil","Gnarled Branch","Staff","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SupportedByMultiTotemUnique__1 | AllDamageUniqueStaff4 | MaximumLifeUniqueStaff4 | MaximumManaUniqueStaff4"
"2026-01-06T22:49:43.0206940+00:00","Banishing Blade","Banishing Blade","Two Hand Sword","Rare","","","","","Polar","Adds 133 to 210 Cold Damage","133;210","","of Staggering","33% increased Stun Duration on Enemies","33","","Incinerating","Adds 113 to 185 Fire Damage","113;185","","of Skill","5% increased Attack Speed","5","","of Rage","+24% to Global Critical Strike Multiplier","24","","","","","","Polar | of Staggering | Incinerating | of Skill | of Rage"
"2026-01-06T22:49:43.0207183+00:00","Shattershard","Crimson Round Shield","Shield","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","StrUniqueShieldTriggerShieldShatterOnBlock | LocalIncreasedArmourAndEvasionUnique__15_ | IncreasedLifeUnique__108 | AdditionalBlockChanceUnique__7__"
"2026-01-06T22:49:43.0207223+00:00","Replica Voidwalker","Murder Boots","Boots","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DexterityUnique__3 | LocalIncreasedEvasionAndEnergyShieldUnique__5 | MovementVelocityUnique__12 | DamageTakenWhilePhasingUnique__1 | GainPhasingIfKilledRecentlyUnique__1 | ProjectilesChainWhilePhasingUnique__1_ | CelestialFootprintsUnique__1_"
"2026-01-06T22:49:43.0207362+00:00","Replica Leer Cast","Festival Mask","Helmet","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DexterityUniqueHelmetDexInt2 | IncreasedLifeUniqueHelmetDexInt2 | IncreasedManaUniqueHelmetDexInt2 | ManaRegenerationUnique__14___ | ManaRegenerationAuraUnique__1"
"2026-01-06T22:50:50.7280485+00:00","Apex Cleaver","Apex Cleaver","Two Hand Axe","Rare","","","","","Razor-sharp","Adds 33 to 56 Physical Damage","33;56","","Merciless","179% increased Physical Damage","179","","of Stunning","23% increased Stun Duration on Enemies","23","","of Ferocity","+30% to Global Critical Strike Multiplier","30","","Champion's","47% increased Physical Damage
+111 to Accuracy Rating","47;111","","","","","","Razor-sharp | Merciless | of Stunning | of Ferocity | Champion's"
"2026-01-06T22:50:55.7285819+00:00","Replica Tulfall","Opal Wand","Wand","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IncreasedCastSpeedUnique__22 | LosePowerChargesOnMaxPowerChargesUnique__2 | WhenReachingMaxPowerChargesGainAFrenzyChargeUnique__1 | IncreasedColdDamagePerFrenzyChargeUnique__2 | PowerChargeOnHittingFrozenEnemyUnique__1 | TakeColdDamageOnMaximumPowerChargesUnique__1____"
"2026-01-06T22:50:55.7287941+00:00","18x Orb of Binding","Orb of Binding","StackableCurrency","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-06T22:50:55.7288023+00:00","Replica Voideye","Unset Ring","Ring","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SocketedGemQualityUnique__2_"
"2026-01-06T22:50:55.7288083+00:00","Anarchic Spiritblade","Anarchic Spiritblade","One Hand Sword","Rare","","","","","Conqueror's","57% increased Physical Damage
+126 to Accuracy Rating","57;126","","Gleaming","Adds 12 to 25 Physical Damage","12;25","","of Staggering","34% increased Stun Duration on Enemies","34","","Heavy","43% increased Physical Damage","43","","of the Wind","+54 to Dexterity","54","","of Celebration","27% increased Attack Speed","27","","Conqueror's | Gleaming | of Staggering | Heavy | of the Wind | of Celebration"
"2026-01-06T22:51:58.4216756+00:00","Replica Three-step Assault","Shagreen Boots","Boots","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DexterityUniqueBootsDex9 | LocalIncreasedEvationRatingPercentUniqueBootsDex9 | IncreasedLifeUniqueBootsDex9__ | MovementVelocityUnique__10 | ElusiveEffectUnique__1 | MovementSpeedIfHitRecentlyUnique__1_"
"2026-01-06T22:52:03.4337957+00:00","17x Orb of Unmaking","Orb of Unmaking","StackableCurrency","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-06T22:52:03.4338264+00:00","Impact Force Propagator","Impact Force Propagator","Two Hand Mace","Rare","","","","","Heavy","42% increased Physical Damage","42","","of the Ranger","+608 to Accuracy Rating","608","","Glinting","Adds 2 to 5 Physical Damage","2;5","","Champion's","45% increased Physical Damage
+114 to Accuracy Rating","45;114","","of the Titan","+45 to Strength","45","","of Rage","+20% to Global Critical Strike Multiplier","20","","Heavy | of the Ranger | Glinting | Champion's | of the Titan | of Rage"
"2026-01-06T22:52:03.4338608+00:00","Replica Earendel's Embrace","Grinning Fetish","Sceptre","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AllAttributesUnique__11 | MinionDamageUnique__5 | ZombiesCoverInAshOnHitUnique__1 | ZombiesTakeFireDamagePerSecondUnique__1_ | ZombiesHaveAvatarOfFireUnique__1"
"2026-01-06T22:52:03.4338804+00:00","Replica Veil of the Night","Great Helmet","Helmet","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","StunRecoveryUniqueHelmetStrInt4 | LightRadiusUniqueHelmetStrInt4 | LightningDamageOnBlockUniqueHelmetStrInt4 | DefencesAreZeroUnique__1_ | IncreasedElementalResistancesUnique__1"
"2026-01-06T22:52:15.4388786+00:00","Replica Veil of the Night","Great Helmet","Helmet","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","StunRecoveryUniqueHelmetStrInt4 | LightRadiusUniqueHelmetStrInt4 | LightningDamageOnBlockUniqueHelmetStrInt4 | DefencesAreZeroUnique__1_ | IncreasedElementalResistancesUnique__1"
